h k l n m i d u x y z e t r
h 0 16 65536 1363148 65536 65536 108854 1.000000 0.048077 0.079855 89.671797 1.288771e-01 8.133814e-09
h 0 16 65536 1468006 65536 65536 113525 1.000000 0.044643 0.077333 94.562422 1.325439e-01 7.793251e-09
h 0 16 65536 1572864 65536 65536 117724 1.000000 0.041667 0.074847 99.390547 1.354055e-01 7.451968e-09
h 0 16 65536 1677721 65536 65536 121905 1.000000 0.039063 0.072661 104.421797 1.393159e-01 7.205995e-09
h 0 16 65536 1782579 65536 65536 125965 1.000000 0.036765 0.070664 109.929609 1.426393e-01 6.959287e-09
h 0 16 65536 1887436 65536 65536 129490 1.000000 0.034722 0.068606 116.015547 1.454958e-01 6.717521e-09
h 0 16 65536 1992294 65536 65536 132772 1.000000 0.032895 0.066643 122.636641 1.480070e-01 6.485260e-09
h 0 16 65536 2097152 65536 65536 135972 1.000000 0.031250 0.064837 129.363203 1.515300e-01 6.317706e-09
h 0 13 8192 4194304 8192 8192 39424 1.000000 0.001953 0.009399 237.554218 5.111350e-02 1.349769e-09
h 0 14 16384 4194304 16384 16384 67690 1.000000 0.003906 0.016139 238.062344 7.513387e-02 1.838778e-09
h 0 15 32768 4194304 32768 32768 112575 1.000000 0.007812 0.026840 239.415077 1.167697e-01 2.656892e-09
h 0 16 65536 4194304 65536 65536 180319 1.000000 0.015625 0.042991 242.007734 1.945490e-01 4.118037e-09
h 0 17 131072 4194304 131072 131072 271975 1.000000 0.031250 0.064844 245.738203 3.383332e-01 6.638139e-09
h 0 18 262144 4194304 262143 262143 371373 0.999996 0.062500 0.088542 252.769453 5.967336e-01 1.073232e-08
h 0 19 524288 4194304 524094 524094 421164 0.999630 0.124954 0.100413 261.351484 1.047774e+00 1.686072e-08
h 0 20 1048576 4194304 1027920 1027920 332645 0.980301 0.245075 0.079309 282.277266 1.817747e+00 2.500967e-08
h 0 20 1153433 4194304 1119520 1119520 307347 0.970598 0.266914 0.073277 315.933516 1.920645e+00 2.573037e-08
h 0 20 1258291 4194304 1158502 1158502 270933 0.920695 0.276208 0.064595 317.640547 1.962018e+00 2.561945e-08
h 0 20 1363148 4194304 1263041 1263041 252243 0.926562 0.301132 0.060139 319.371016 2.103376e+00 2.679436e-08
h 0 20 1468006 4194304 1255913 1255913 213691 0.855523 0.299433 0.050948 321.046797 2.058217e+00 2.559923e-08
h 0 20 1572864 4194304 1262372 1262372 184693 0.802595 0.300973 0.044034 322.742109 2.045588e+00 2.485879e-08
h 0 20 1677721 4194304 1347653 1347653 168643 0.803264 0.321306 0.040208 324.433516 2.120135e+00 2.519070e-08
h 0 20 1782579 4194304 1398302 1398302 149862 0.784426 0.333381 0.035730 326.109297 2.202421e+00 2.560101e-08
h 0 20 1887436 4194304 1313103 1313103 120292 0.695707 0.313068 0.028680 327.792891 2.043057e+00 2.324679e-08
h 0 20 1992294 4194304 1377346 1377346 108256 0.691337 0.328385 0.025810 329.456953 2.112958e+00 2.354655e-08
h 0 21 2097152 4194304 1236770 1236770 82854 0.589738 0.294869 0.019754 331.124844 1.883358e+00 2.056539e-08
h 0 21 2306867 4194304 1228127 1228127 59212 0.532379 0.292808 0.014117 398.468672 1.796265e+00 1.885818e-08
h 0 21 2516582 4194304 1224222 1224222 42119 0.486462 0.291877 0.010042 401.710938 1.735659e+00 1.754825e-08
h 0 21 2726297 4194304 961006 961006 22882 0.352495 0.229122 0.005455 404.948125 1.311496e+00 1.278852e-08
h 0 21 2936012 4194304 782763 782763 12406 0.266608 0.186625 0.002958 408.144453 9.989000e-01 9.406841e-09
h 0 21 3145728 4194304 601197 601197 6140 0.191115 0.143337 0.001464 411.316406 7.355249e-01 6.697653e-09
h 0 21 3355443 4194304 495765 495765 2939 0.147749 0.118200 0.000701 421.532421 5.749850e-01 5.068483e-09
h 0 21 3565158 4194304 222713 222713 692 0.062469 0.053099 0.000165 421.581406 2.320074e-01 1.981871e-09
h 0 21 3774873 4194304 114398 114398 135 0.030305 0.027275 0.000032 422.221406 1.010949e-01 8.376808e-10
h 0 21 3984588 4194304 39161 39161 11 0.009828 0.009337 0.000003 423.926250 2.926525e-02 2.354361e-10
h 0 22 4194304 4194304 61 61 0 0.000015 0.000015 0.000000 426.570312 6.414618e-04 5.014559e-12
